FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
230217;0300;6;;;
230217;0400;12;;;
230217;0500;30;;;
230217;0600;61;;;
230217;0700;14;;;
230217;0800;24;;;
230217;0900;4;;;
230217;1000;4;;;
230217;1100;5;;;
230217;1200;4;;;
230217;1300;3;;;
230217;1400;4;;;
230217;1500;6;;;
230217;1600;7;;;
230217;1700;4;;;
230217;1800;6;;;
230217;1900;8;;;
230217;2000;12;;;
230217;2100;9;;;
230217;2200;7;;;
230217;2300;5;;;
230218;0000;8;;;
230218;0100;5;;;
230218;0200;8;;;
230218;0300;8;;;
230218;0400;4;;;
230218;0500;3;;;
230218;0600;8;;;
230218;0700;4;;;
230218;0800;6;;;
230218;0900;6;;;
230218;1000;4;;;
230218;1100;7;;;
230218;1200;4;;;
230218;1300;5;;;
230218;1400;4;;;
230218;1500;1;;;
230218;1600;1;;;
230218;1700;4;;;
230218;1800;3;;;
230218;1900;2;;;
230218;2000;8;;;
230218;2100;9;;;
230218;2200;7;;;
230218;2300;7;;;
230219;0000;5;;;
230219;0100;3;;;
230219;0200;5;;;
230219;0300;4;;;
230219;0400;5;;;
230219;0500;6;;;
230219;0600;4;;;
230219;0700;3;;;
230219;0800;5;;;
230219;0900;4;;;
230219;1000;15;;;
230219;1100;11;;;
230219;1200;12;;;
230219;1300;15;;;
230219;1400;21;;;
230219;1500;4;;;
230219;1600;4;;;
230219;1700;8;;;
230219;1800;10;;;
230219;1900;11;;;
230219;2000;13;;;
230219;2100;12;;;
230219;2200;8;;;
230219;2300;16;;;
230220;0000;9;;;
230220;0100;5;;;
230220;0200;3;;;
230220;0300;5;;;
230220;0400;7;;;
230220;0500;5;;;
230220;0600;4;;;
230220;0700;14;;;
230220;0800;15;;;
230220;0900;8;;;
230220;1000;7;;;
230220;1100;5;;;
230220;1200;8;;;
230220;1300;6;;;
230220;1400;4;;;
230220;1500;2;;;
230220;1600;3;;;
230220;1700;6;;;
230220;1800;9;;;
230220;1900;10;;;
230220;2000;10;;;
230220;2100;9;;;
230220;2200;5;;;
230220;2300;19;;;
230221;0000;9;;;
230221;0100;5;;;
230221;0200;1;;;
230221;0300;2;;;
230221;0400;1;;;
230221;0500;2;;;
230221;0600;4;;;
230221;0700;6;;;
230221;0800;6;;;
230221;0900;5;;;
230221;1000;7;;;
230221;1100;8;;;
230221;1200;8;;;
230221;1300;7;;;
230221;1400;6;;;
230221;1500;4;;;
230221;1600;3;;;
230221;1700;7;;;
230221;1800;8;;;
230221;1900;7;;;
230221;2000;11;;;
230221;2100;8;;;
230221;2200;11;;;
230221;2300;6;;;
230222;0000;4;;;
230222;0100;1;;;
230222;0200;1;;;
230222;0300;1;;;
230222;0400;1;;;
230222;0500;1;;;
