date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-08-30 00:00:00,3.5,0.7,7,5.4,,3,13.7,,1004.6,
2023-08-31 00:00:00,5.4,3.7,8,17.5,,36,12.5,,999.5,
2023-09-01 00:00:00,4.5,0.7,6.7,8.6,,332,13.9,,998.1,
2023-09-02 00:00:00,2.1,-0.3,6.5,1.1,,45,12.1,,1011.5,
2023-09-03 00:00:00,1.8,-2,7.6,0.1,,342,8.5,,1018.1,
2023-09-04 00:00:00,1.7,-3.8,8.5,0,,324,9.2,,1022.4,
2023-09-05 00:00:00,2.7,-4.7,9.2,0,,310,10,,1018.1,
2023-09-06 00:00:00,5.7,2,9.5,0,,196,8.4,,1012,
2023-09-07 00:00:00,4.7,1.5,10,0.1,,346,5.9,,1012.8,
2023-09-08 00:00:00,6.3,2.7,10.7,0,,10,12,,1013.2,
2023-09-09 00:00:00,4.8,3,9,5.5,,328,8,,1002.7,
2023-09-10 00:00:00,5.7,2,10,4.3,,265,12.5,,1001.1,
2023-09-11 00:00:00,4.8,2,10.6,3.4,,19,11.6,,1007,
2023-09-12 00:00:00,6,3,9.7,2.5,,307,15.3,,1014.5,
2023-09-13 00:00:00,7.2,3.1,13.1,5.4,,330,10.6,,1008.6,
2023-09-14 00:00:00,8.9,3.9,13.8,0.8,,344,13.2,,995.2,
2023-09-15 00:00:00,5,2.5,9.1,5.3,,302,17.6,,992.5,
2023-09-16 00:00:00,3.8,0.9,9.3,1.5,,24,9.6,,996.8,
2023-09-17 00:00:00,3.6,0,9,0.1,,328,10.8,,1015.6,
2023-09-18 00:00:00,2.5,-1,9.3,0,,309,7.9,,1022.8,
2023-09-19 00:00:00,-1.3,-4.7,8.6,0,,69,6.6,,1025.8,
2023-09-20 00:00:00,1.2,-5,10,0,,256,7.6,,1018.2,
2023-09-21 00:00:00,3.5,-4,11,0,,268,9.5,,1014.2,
2023-09-22 00:00:00,4,-4,12.7,0,,305,9.7,,1015,
2023-09-23 00:00:00,5.7,0,13.8,0,,274,9.9,,1017.1,
2023-09-24 00:00:00,2.8,-4,12.2,0,,304,9,,1019.4,
2023-09-25 00:00:00,5.5,0.9,12,0,,312,11,,1018.2,
2023-09-26 00:00:00,6.8,4.2,10,6.7,,303,12.9,,1016.7,
2023-09-27 00:00:00,6.6,3,8,19,,19,10.6,,1004.5,
2023-09-28 00:00:00,5.9,-0.2,13,0,,346,7.8,,1022.1,
2023-09-29 00:00:00,7.2,-1.5,17,0,,334,10.3,,1024.5,
2023-09-30 00:00:00,7.3,-1.2,17.1,0,,314,8.7,,1012.5,
2023-10-01 00:00:00,8.3,4,18.8,2.2,,257,15.4,,1010.3,
2023-10-02 00:00:00,6.9,2,14,0,,308,8.8,,1015,
2023-10-03 00:00:00,7.7,2,14.5,0,,312,11.2,,1019.5,
2023-10-04 00:00:00,8.4,3,14.8,0,,270,11.4,,1017.8,
2023-10-05 00:00:00,7.9,3,14.3,0,,273,13.4,,1003.4,
